itemid,one-liner,year
001-187188,"['FREEDOM OF EXPRESSION\n', 'Criminal conviction and fine for statements accusing the\n', 'Prophet Muhammad of paedophilia: no violation\n', 'E.S. v. Austria, no. 38450/12, 25.10.2018\n', 'Judgment | Legal summary\n']",2018
001-193543,"['ARTICLE\xa046\n', 'Article\xa046 § 4\n', 'INFRINGEMENT PROCEEDINGS\n', 'Infringement proceedings against Azerbaijan for failure to\n', 'abide by final judgment of the European Court: violation\n', 'Ilgar Mammadov v. Azerbaijan [GC], no.\u202f15172/13, 29\xa0May 2019\n', 'Judgment | Legal summary\n']",2019
001-200442,"['ARTICLE 8\n', 'RESPECT FOR PRIVATE AND FAMILY LIFE\n', 'Deprivation of nationality of respondent State on the basis of a conviction\n', 'for a terrorism offence committed over ten years earlier: no violation\n', 'Ghoumid and Others v. France, nos. 52273/16 and 4 others, 25 June 2020\n', 'Judgment | Legal summary\n']",2020
001-205536,"['Admission of evidence obtained through ill-treatment of a third party by private\n', 'individuals, without involvement or acquiescence of State actors: violation\n', 'Ćwik v. Poland, no. 31454/10, 5 November 2020\n', 'Judgment | Legal summary\n']",2020
001-205509,"['Refusal of border guards to receive asylum applications and\n', 'summary removal to a third country, with a risk of refoulement\n', 'to and ill-treatment in the country origin: violation\n', 'M.K. and Others v. Poland, nos. 40503/17 and 2 others, 23 July 2020\n', 'Judgment | Legal summary\n']",2020
001-233261,"['ARTICLE 35\n', 'Article 35 § 1\n', 'EXHAUSTION OF DOMESTIC REMEDIES\n', 'EFFECTIVE DOMESTIC REMEDY\n', 'Application to the Court without pursuing any of the remedies\n', 'available in the Portuguese domestic legal order concerning\n', 'climate-change complaints: inadmissible\n', 'Duarte Agostinho and Others v. Portugal and 32 Others (dec.) [GC],\n', 'no. 39371/20, 9 April 2024\n', 'Decision | Legal summary\n']",2024
001-219707,"['Suspended prison sentence for offence of sexual exposure imposed\n', 'on Femen activist for topless performance in church as protest\n', 'against Catholic church’s position on abortion: violation\n', 'Bouton v. France, no. 22636/19, 13 October 2022\n', 'Judgment | Legal summary\n']",2022
001-180276,"['RESPECT FOR PRIVATE AND FAMILY LIFE | RESPECT FOR HOME\n', 'Requirement for elite athletes in “target group” to keep authorities informed\n', 'of their whereabouts for purposes of random drug testing: no violation\n', 'National Federation of Sportspersons’ Associations and Unions (FNASS)\n', 'and Others v.\xa0France, nos.\u202f48151/11 and 77769/13, 18.1.2018\n', 'Judgment | Legal summary\n']",2018
001-187605,"['ARTICLE\xa046\n', 'Article\xa046 § 2\n', 'EXECUTION OF JUDGMENT | GENERAL MEASURES\n', 'Respondent State required to take general measures to ensure that the legis\xad\n', 'lative framework governing the exercise of the right to freedom of assembly\n', 'did not represent a hidden obstacle to freedom of peaceful assembly\n', 'Navalnyy v. Russia [GC], nos. 29580/12 and 4 others, 15.11.2018\n', 'Judgment | Legal summary\n']",2018
001-201646,"['Unjustified dismissal of Serbian ethnic origin teacher for\n', 'failing to use standard Croatian in class, considered unable\n', 'to adapt due to pre-retirement age: violation\n', 'Mile Novaković v. Croatia, no. 73544/14, 17 December 2020\n', 'Judgment | Legal summary\n']",2020
001-220960,"['INHUMAN OR DEGRADING PUNISHMENT\n', 'Conversion, upon prisoner’s transfer, of a foreign reducible life\n', 'sentence into an irreducible one due to unavailability of parole\n', 'for life prisoners in his home State: violation\n', 'Kupinskyy v. Ukraine, no. 5084/18, 10 November 2022\n', 'Judgment | Legal summary\n']",2022
001-222660,"['ARTICLE 35\n', 'ARTICLE 35-3-A\n', 'RATIONE TEMPORIS\n', 'Limits of Court’s jurisdiction with respect to acts or omissions\n', 'spanning across the date on which a respondent State ceased to be a\n', 'Party to the Convention: communicated; remainder inadmissible\n', 'Pivkina and Others v. Russia (dec.), nos. 2134/23 et al., 6 June 2023\n', 'Decision | Legal summary\n']",2023
001-204993,"['ARTICLE 4 OF PROTOCOL No.\xa07\n', 'RIGHT NOT TO BE TRIED OR PUNISHED TWICE\n', 'Deprivation of nationality of respondent State on the\n', 'basis of old terrorism conviction: inadmissible\n', 'Ghoumid and Others v. France, nos. 52273/16 and 4 others, 25 June 2020\n', 'Judgment | Legal summary\n']",2020
001-225814,"['Unjustified administrative offence conviction of a peaceful solo\n', 'demonstrator, using a life-size cardboard figure of a political activist\n', 'with a banner, for failure to submit prior notification: violation\n', 'Glukhin v. Russia, no. 11519/20, 4 July 2023\n', 'Judgment | Legal summary\n']",2023
001-203370,"['ARTICLE 35\n', 'ARTICLE 35 § 2 (b)\n', 'MATTER ALREADY SUBMITTED TO ANOTHER\n', 'INTERNATIONAL PROCEDURE\n', 'Complaint to specialised Committee of the Inter-Parliamentary Union\n', 'not similar to Convention mechanism: preliminary objection dismissed\n', 'Selahattin Demirtaş v. Turkey (no. 2) [GC], no. 14305/17,\n', '22 December 2020\n', 'Judgment | Legal summary\n']",2020
001-219226,"['Collection of data on sexual behaviour of potential blood donor\n', 'based on speculation, and excessive length of data retention by\n', 'public body: violation\n', 'Drelon v. France, nos. 3153/16 and 27758/18, 8 September 2022\n', 'Judgment | Legal summary\n']",2022
001-205222,"['ARTICLE 1 OF PROTOCOL No.\xa012\n', 'GENERAL PROHIBITION OF DISCRIMINATION\n', 'Alleged discrimination in final high school exams of pupils belonging\n', 'to national minorities studying in their mother tongue: no violation\n', 'Ádám and Others v. Romania, nos. 81114/17 and 5 others, 13 October 2020\n', 'Judgment | Legal summary\n']",2020
001-216400,"['ACCESS TO COURT\n', 'Lack of judicial review of premature termination ex lege, after\n', 'legislative reform, of a serving judge’s mandate as member of the\n', 'National Council of the Judiciary: violation\n', 'Grzęda v. Poland [GC], no. 43572/18, 15 March 2022\n', 'Judgment | Legal summary\n']",2022
001-235475,"['Employment-related measures imposed on health care and social\n', 'health workers for refusing to get vaccinated against Covid-19:\n', 'no violation\n', 'Pasquinelli and Others v. San Marino, no. 24622/22, 29 August 2024\n', '(not final)\n', 'Judgment | Legal summary\n']",2024
001-207173,"['ARTICLE 41\n', 'JUST SATISFACTION\n', 'Respondent State invited to guarantee applicant’s ownership of\n', 'property bequeathed to her in Greece, or else to compensate her for its\n', 'value in proportion to the percentage of which she was deprived\n', 'No jurisdiction for the Court to determine the applicant’s\n', 'claims concerning property in Turkey\n', 'Molla Sali v. Greece (just satisfaction) [GC], no. 20452/14, 18 June 2020\n', 'Judgment | Legal summary\n']",2020
001-233174,"['Article 35 § 3 (a)\n', 'RATIONE PERSONAE\n', 'Complaint by the former mayor of the municipality of Grande-\n', 'Synthe of insufficient action by France to prevent climate change:\n', 'inadmissible (incompatible ratione personae)\n', 'Carême v. France (dec.) [GC], no. 7189/21, 9 April 2024\n', 'Decision | Legal summary\n']",2024
001-180486,"['Key cases 2018\u2002 \u2002 Cases by Article\u2002 \u2002 Page 7\n', 'ARTICLE\xa08\n', 'POSITIVE OBLIGATIONS\n', 'Failure to ensure fourteen-year old girl was looked after while her\n', 'parents were held in police custody: violation; no violation\n', 'Hadzhieva v. Bulgaria, no.\u202f45285/12, 1.2.2018\n', 'Judgment | Legal summary\n']",2018
001-187802,"['DEFENCE THROUGH LEGAL ASSISTANCE\n', 'No provision for legal assistance during questioning by police and\n', 'investigating judge in initial phase of criminal proceedings: violation\n', 'Beuze v. Belgium [GC], no. 71409/10, 9.11.2018\n', 'Judgment | Legal summary\n']",2018
001-235426,"['General and absolute criminal-law prohibition of the purchase of\n', 'sexual services as part of a wide-ranging legislative approach to\n', 'combatting prostitution and human trafficking: no violation\n', 'M. A. and Others v. France, nos. 63664/19 et al., 17 September\n', '2024 (not final)\n', 'Judgment | Legal summary\n']",2024
001-236065,"['Medical treatment in the form of blood transfusions\n', 'administered to a Jehovah’s Witness, during emergency surgery,\n', 'despite her expressed refusal to undergo a blood transfusion of\n', 'any kind: violation\n', 'Pindo Mulla v. Spain [GC], no. 15541/20, 17 September 2024\n', 'Judgment | Legal summary\n']",2024
001-223924,"['Unjustified publication of applicant’s identifying data, including\n', 'home address, on tax authority website portal, for failing to fulfil\n', 'his tax obligations: violation\n', 'L.B. v. Hungary [GC], no. 36345/16, 9 March 2023\n', 'Judgment | Legal summary\n']",2023
001-181591,"['ARTICLE\xa01 OF PROTOCOL No.\u202f1\n', 'POSSESSIONS\n', 'Claims to ownership of socially owned property\n', 'through adverse possession: no violation\n', 'Radomilja and Others v. Croatia [GC], nos.\u202f37685/10\n', 'and 22768/12, 20.3.2018\n', 'Judgment | Legal summary\n']",2018
001-203534,"['ARTICLE 2 OF PROTOCOL No.\xa07\n', 'RIGHT OF APPEAL IN CRIMINAL MATTERS\n', 'No appeal available against a heavy customs fine imposed\n', 'without any consideration of proportionality: violation\n', 'Saquetti Iglesias v. Spain, no.\xa050514/13, 30 June 2020\n', 'Judgment | Legal summary\n']",2020
001-188268,"['PEACEFUL ENJOYMENT OF POSSESSIONS\n', 'Personal liability of a shareholder for the debts of a struck-off company\n', 'pursuant to special legislation on dormant companies: no violation\n', 'Lekić v. Slovenia [GC], no. 36480/07, 11.12.2018\n', 'Judgment | Legal summary\n']",2018
001-181585,"['RULE\xa080 OF THE RULES OF COURT\n', 'REQUEST FOR REVISION OF A JUDGMENT\n', 'Alleged new fact of no decisive influence on findings in the\n', 'original judgment: request for revision dismissed\n', 'Ireland v. the United Kingdom (revision), no.\u202f5310/71, 20.3.2018\n', 'Judgment | Legal summary\n']",2018
001-230718,"['Article 6 § 3 (c)\n', 'DEFENCE THROUGH LEGAL ASSISTANCE\n', 'Validity of waiver of the right to legal assistance signed by the\n', 'applicant while in unrecorded detention and suffering from drug\n', 'withdrawal symptoms: violation\n', 'Bogdan v. Ukraine, no. 3016/16, 8 February 2024\n', 'Judgment | Legal summary\n']",2024
001-218516,"['ARTICLE 34\n', 'HINDER THE EXERCISE OF THE RIGHT OF APPLICATION\n', 'Failure to comply with interim measure through enforcement of\n', 'dissolution order against a non-governmental organisation:\n', 'violation\n', 'Ecodefence and Others v. Russia, nos. 9988/13 et al., 14 June 2022\n', 'Judgment | Legal summary\n']",2022
001-222889,"['12\n', 'Key cases 2023\n', 'VICTIM\n', 'Applicant association’s unjustified abandonment of authorisation\n', 'request to hold a public event during Covid-19 related ban and to\n', 'bring any other such request: effect on applicant association’s\n', 'victim status\n', 'Communauté Genevoise d’Action Syndicale (CGAS) v. Switzerland\n', '[GC], no. 21881/20, 27 November 2023\n', 'Judgment | Legal summary\n']",2023
001-217963,"['DISCRIMINATION (ARTICLE 1 OF PROTOCOL No. 1)\n', 'Very weighty reasons for exclusion of employment periods\n', 'accrued in other former USSR states in state pension calculation for\n', 'permanently resident non-citizens, in contrast to Latvian citizens:\n', 'no violation\n', 'Savickis and Others v. Latvia [GC], no. 49270/11, 9 June 2022\n', 'Judgment | Legal summary\n']",2022
001-233937,"['ARTICLE 2 OF PROTOCOL No. 4\n', 'Article 2 § 1\n', 'FREEDOM OF MOVEMENT\n', 'Preventive home-curfew order issued – under state-of-\n', 'emergency legislation enacted following terrorist attacks –\n', 'against two applicants suspected of potential participation in\n', 'violent actions during the COP21 summit: no violation, violation\n', 'Domenjoud v. France, nos. 34749/16 and 79607/17, 16 May 2024\n', 'Judgment | Legal summary\n']",2024
001-224928,"['Failure to act with due diligence to assist a vulnerable minor, a\n', 'Spanish national born abroad, to obtain birth registration not\n', 'secured by his available parent, and consequently identity\n', 'documents: violation\n', 'G.T.B. v. Spain, no. 3041/19, 16 November 2023\n', 'Judgment | Legal summary\n']",2023
001-194051,"['ARTICLE\xa03\n', 'INHUMAN OR DEGRADING TREATMENT\n', 'Reducibility of a whole-life prison sentence imposed for leadership of a\n', 'Mafia organisation depended on cooperation with the police: violation\n', 'Marcello Viola v. Italy (no.\u202f2), no.\u202f77633/16, 13\xa0June 2019\n', 'Judgment | Legal summary\n']",2019
001-181789,"['ARTICLE\xa06\n', 'Article\xa06 § 1 (civil)\n', 'ACCESS TO COURT\n', 'Absence of universal jurisdiction of civil courts in torture cases:\n', 'Article\xa06\xa0applicable; no violation\n', 'Naït-Liman v. Switzerland [GC], no.\u202f51357/07, 15.3.2018\n', 'Judgment | Legal summary\n']",2018
001-203503,"['ARTICLE 4\n', 'EFFECTIVE INVESTIGATION | POSITIVE OBLIGATIONS (procedural aspect)\n', 'Significant flaws in domestic procedural response to arguable claim of human\n', 'trafficking and forced prostitution, supported by prima facie evidence: violation\n', 'S.M. v. Croatia [GC], no. 60561/14, 25 June 2020\n', 'Judgment | Legal summary\n']",2020
001-202621,"['POSITIVE OBLIGATIONS (substantive aspect)\n', 'Authorities’ efforts sufficient, despite some delays and omissions, in view of\n', 'obstructive behaviour of witnesses placed under protection: no violation\n', 'A and B v. Romania, no. 48442/16, 2 June 2020\n', 'Judgment | Legal summary\n']",2020
001-200344,"['ARTICLE 14\n', 'DISCRIMINATION (Article 2)\n', 'Azerbaijan’s failure to enforce prison sentence for hate crime against\n', 'Armenian victims, imposed abroad on its officer, who was glorified\n', 'as hero, promoted and awarded benefits upon return: violation\n', 'Makuchyan and Minasyan v. Azerbaijan and\n', 'Hungary, no. 17247/13, 26 May 2020\n', 'Judgment | Legal summary\n']",2020
001-225231,"['Article 35 § 1\n', 'EXHAUSTION OF DOMESTIC REMEDIES\n', 'No effective remedy available in Russia to relatives of victims of\n', 'Malaysian Airlines flight MH17: admissible\n', 'International investigation into downing of flight MH17 and use\n', 'of international-law remedies before applying to the Court\n', '(six years after the incident): application within time-limit\n', 'Ukraine and the Netherlands v. Russia (dec.) [GC], nos. 8019/16\n', 'et al., 30 November 2022\n', 'Decision | Legal summary\n']",2023
001-225655,"['ARTICLE 9\n', 'MANIFEST RELIGION OR BELIEF\n', 'Advisory opinion as to whether an individual may be denied\n', 'authorisation to work as a security guard or officer on account of\n', 'being close to or belonging to a religious movement\n', 'Advisory opinion requested by the Conseil d’État of Belgium [GC],\n', 'request no. P16-2023-001, 14 December 2023\n', 'Opinion | Legal summary\n']",2023
001-186135,"['RESPECT FOR PRIVATE AND FAMILY LIFE\n', 'Exhumation, in the context of criminal proceedings, of the remains of\n', 'deceased persons against the wishes of their families: violation\n', 'Solska and Rybicka v. Poland, nos. 30491/17 and 31083/17, 20.9.2018\n', 'Judgment | Legal summary\n']",2018
001-203169,"['ARTICLE 10\n', 'FREEDOM OF EXPRESSION\n', 'Militant action to boycott products from Israel was considered as a\n', 'discriminatory crime without relevant and sufficient reasons: violation\n', 'Baldassi and Others c.  France, nos. 15271/16 and 6 others, 11 June 2020\n', 'Judgment | Legal summary\n']",2020
001-225209,"['Later addition by applicant of new complaint, after initial\n', 'communication of the case to the respondent Government, not\n', 'within the six-month time-limit: inadmissible\n', 'Grosam v. the Czech Republic [GC], no. 19750/13, 1 June 2023\n', 'Judgment | Legal summary\n']",2023
001-225652,"['RESPECT FOR PRIVATE AND FAMILY LIFE\n', 'Advisory opinion on the procedural status and rights of a\n', 'biological parent in proceedings for the adoption of an adult\n', 'Advisory opinion requested by the Supreme Court of Finland [GC],\n', 'request no. P16-2022-001, 13 April 2023\n', 'Opinion | Legal summary\n']",2023
001-216872,"['Justified revocation of broadcasting licence of a TV channel after\n', 'repeated and serious breach of the statutory requirement to\n', 'ensure political balance and pluralism in news bulletins:\n', 'no violation\n', 'NIT S.R.L. v. the Republic of Moldova [GC], no. 28470/12, 5 April 2022\n', 'Judgment | Legal summary\n']",2022
001-229376,"['ARTICLE 34\n', 'PETITION\n', 'Recharacterisation of applicant’s complaint by Chamber\n', 'extending scope of case beyond that initially referred to it in the\n', 'application form\n', 'Grosam v. the Czech Republic [GC], no. 19750/13, 1 June 2023\n', 'Judgment | Legal summary\n']",2023
001-219984,"['12\n', 'Key cases 2022\n', 'Allegations of racial profiling by police during identity check on a\n', 'street duly examined and found unsubstantiated by\n', 'administrative courts: no violation\n', 'Muhammad v. Spain, no. 34085/17, 18 October 2022\n', 'Judgment | Legal summary\n']",2022
001-202532,"['ARTICLE 6 § 2\n', 'PRESUMPTION OF INNOCENCE\n', 'Applicant, neither charged nor aware of criminal investigation until\n', 'after its discontinuation, ordered to pay compensation for “crime” in civil\n', 'proceedings brought shortly thereafter: Article 6 applicable; violation\n', 'Farzaliyev v. Azerbaijan, no. 29620/07, 28 May 2020\n', 'Judgment | Legal summary\n']",2020
001-184525,"['PEACEFUL ENJOYMENT OF POSSESSIONS\n', 'Compulsory confiscation of “unlawfully developed” land,\n', 'regardless of any criminal liability: violation\n', 'G.I.E.M.\xa0S.r.l. and Others v. Italy [GC], nos.\u202f1828/06 and 2 others, 28.6.2018\n', 'Judgment | Legal summary\n']",2018
001-187391,"['Article 5 § 1 (c)\n', 'REASONABLY NECESSARY TO PREVENT OFFENCE\n', 'Detention of football supporters for approximately eight hours\n', 'without charge, with a view to preventing violence: no violation\n', 'S., V. and A. v. Denmark [GC], nos. 35553/12 and 2 others, 22.10.2018\n', 'Judgment | Legal summary\n']",2018
001-187930,"['FREEDOM OF EXPRESSION\n', 'Online news portal found liable for posting hyperlink\n', 'leading to defamatory content: violation\n', 'Magyar Jeti Zrt v. Hungary, no. 11257/16, 4.12.2018\n', 'Judgment | Legal summary\n']",2018
001-201342,"['RESPECT FOR PRIVATE LIFE | POSITIVE OBLIGATIONS\n', 'Allegedly insufficient measures to ensure access to safe drinking\n', 'water and sanitation for Roma communities: no violation\n', 'Hudorovič and Others v. Slovenia, nos. 24816/14\n', 'and 25140/14, 10 March 2020\n', 'Judgment | Legal summary\n']",2020
001-194523,"['ARTICLE\xa04 OF PROTOCOL No.\u202f7\n', 'RIGHT NOT TO BE TRIED OR PUNISHED TWICE\n', 'Criteria for determining whether a decision constitutes an “acquit-\n', 'tal” or a “conviction” and whether it is “final”: violation\n', 'Mihalache v. Romania [GC], no.\u202f54012/10, 8\xa0July 2019\n', 'Judgment | Legal summary\n']",2019
001-223675,"['7\n', 'Key cases 2023\n', 'ARTICLE 8\n', 'RESPECT FOR PRIVATE LIFE\n', 'Unjustified search of journalists’ home and indiscriminate seizure\n', 'of their personal belongings: violation\n', 'Svetova and Others v. Russia, no. 54714/17, 24 January 2023\n', 'Judgment | Legal summary\n']",2023
001-186216,"['RESPECT FOR PRIVATE LIFE\n', 'Dismissal of judge from the position of President of appeal court for failure to\n', 'properly perform administrative duties: Article 8 not applicable; inadmissible\n', 'Denisov v. Ukraine [GC], no. 76639/11, 25.9.2018\n', 'Judgment | Legal summary\n']",2018
001-188985,"['ARTICLE 14\n', 'DISCRIMINATION (ARTICLE 1 OF PROTOCOL No. 1)\n', 'Application of Islamic law (sharia) in litigation concerning\n', 'succession to estate of Greek Muslim: violation\n', 'Molla Sali v. Greece [GC], no. 20452/14, 19.12.2018\n', 'Judgment | Legal summary\n']",2018
001-203645,"['5\u2003 \u2003 Key cases 2020\u2002 \u2002 Cases by Article\n', 'ARTICLE 3\n', 'DEGRADING TREATMENT\n', 'Asylum-seekers living rough for several months without resources\n', 'due to administrative delays preventing them from receiving\n', 'the support provided for by law: violation, no violation\n', 'N.H. and Others v. France, nos. 28820/13 and 2 others, 2 July 2020\n', 'Judgment | Legal summary\n']",2020
001-216707,"['POSITIVE OBLIGATIONS\n', 'Inability to obtain recognition of a legal relationship between a\n', 'child and the biological mother’s ex-partner: no violation\n', 'C.E. and Others v. France, nos. 29775/18 and 29693/19, 24 March 2022\n', 'Judgment | Legal summary\n']",2022
001-234468,"['Article 6 § 2\n', 'PRESUMPTION OF INNOCENCE\n', 'Refusal of compensation for a miscarriage of justice, following\n', 'quashing of applicants’ criminal convictions as “unsafe”, for\n', 'failing to meet new statutory test: no violation\n', 'Nealon and Hallam v. the United Kingdom [GC], nos. 32483/19 and\n', '35049/19, 11 June 2024\n', 'Judgment | Legal summary\n']",2024
001-229129,"['5\n', 'Key cases 2023\n', 'ARTICLE 4\n', 'TRAFFICKING IN HUMAN BEINGS | POSITIVE OBLIGATIONS\n', 'Domestic courts’ dismissal of compensation claim of trafficking\n', 'victim against her trafficker in respect of lost earnings from\n', 'coerced prostitution: violation\n', 'Krachunova v. Bulgaria, no. 18269/18, 28 November 2023\n', 'Judgment | Legal summary\n']",2023
001-224435,"['POSITIVE OBLIGATIONS\n', 'Segregation, humiliation and abuse of prisoners by fellow inmates\n', 'on account of inferior status in informal prisoner hierarchy\n', 'tolerated by prison staff; lack of systemic State action: violation\n', 'S.P. and Others v. Russia, nos. 36463/11 et al., 2 May 2023\n', 'Judgment | Legal summary\n']",2023
001-182243,"['Article\xa06 § 3 (c)\n', 'DEFENCE THROUGH LEGAL ASSISTANCE\n', 'Lawyer not permitted to conduct his own defence\n', 'in criminal proceedings: no violation\n', 'Correia de Matos v. Portugal [GC], no. 56402/12, 4.4.2018\n', 'Judgment | Legal summary\n']",2018
001-209520,"['EXPULSION\n', 'Order for deportation to Russia of Chechen refugee, after status\n', 'revoked on grounds of terrorism conviction, without ex nunc\n', 'assessment of risks: expulsion would constitute a violation\n', 'K.I. v. France, no. 5560/19, 15 April 2021\n', 'Judgment | Legal summary\n']",2021
